,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,CPR,CPF,CPH,NEXT_DEPTH,NEXT_RATE,PREV_ID,DEPTH_INTERVAL,TIME_INTERVAL,cost
0,370.07,622.9,55.0,480.0,17.52,1,ChallengDriller,10000,0.0,0,373.08,774.8,,3.009999999999991,0.06651056964734842,10000.0
1,373.08,774.8,76.2,431.0,0.33,1,ChallengDriller,10000,0.0,0,374.07,638.6,1.0,0.9900000000000091,0.0012777490965410546,0.0
2,374.07,638.6,63.4,361.0,11.91,1,ChallengDriller,10000,0.0,0,374.76,677.4,1.0,0.6899999999999977,0.0010804885687441242,0.0
3,374.76,677.4,61.1,497.0,13.66,1,ChallengDriller,10000,0.0,0,376.8,707.0,1.0,2.0400000000000205,0.0030115146147033076,0.0
4,376.8,707.0,53.5,458.0,20.64,1,ChallengDriller,10000,0.0,0,377.03,681.8,1.0,0.22999999999996135,0.0003253182461102706,0.0
5,377.03,681.8,60.8,588.0,21.9,1,ChallengDriller,10000,0.0,0,378.71,774.9,1.0,1.6800000000000068,0.0024640657084189013,0.0
6,378.71,774.9,59.1,466.0,16.35,1,ChallengDriller,10000,0.0,0,379.2,697.8,1.0,0.4900000000000091,0.0006323396567299124,0.0
7,379.2,697.8,56.8,613.0,20.46,1,ChallengDriller,10000,0.0,0,380.87,651.8,1.0,1.670000000000016,0.0023932358842075323,0.0
8,380.87,651.8,57.6,557.0,19.57,1,ChallengDriller,10000,0.0,0,381.07,639.5,1.0,0.19999999999998863,0.00030684258975144005,0.0
9,381.07,639.5,62.2,569.0,19.57,1,ChallengDriller,10000,0.0,0,382.51,698.6,1.0,1.4399999999999977,0.0022517591868647345,0.0
10,382.51,698.6,59.2,463.0,10.76,1,ChallengDriller,10000,0.0,0,383.24,685.5,1.0,0.7300000000000182,0.0010449470369310308,0.0
11,383.24,685.5,61.0,451.0,11.47,1,ChallengDriller,10000,0.0,0,384.69,663.1,1.0,1.4499999999999886,0.0021152443471918144,0.0
12,384.69,663.1,57.7,522.0,11.75,1,ChallengDriller,10000,0.0,0,385.03,653.6,1.0,0.339999999999975,0.0005127431759915171,0.0
13,385.03,653.6,63.4,524.0,9.23,1,ChallengDriller,10000,0.0,0,386.57,580.9,1.0,1.5400000000000205,0.0023561811505508267,0.0
14,386.57,580.9,61.4,513.0,10.64,1,ChallengDriller,10000,0.0,0,387.09,631.4,1.0,0.5199999999999818,0.0008951626786021378,0.0
15,387.09,631.4,65.7,415.0,11.37,1,ChallengDriller,10000,0.0,0,388.62,320.9,1.0,1.5300000000000296,0.00242318656952808,0.0
16,388.62,320.9,72.3,450.0,4.61,1,ChallengDriller,10000,0.0,0,389.08,430.2,1.0,0.45999999999997954,0.0014334683702087242,0.0
17,389.08,430.2,66.9,474.0,7.31,1,ChallengDriller,10000,0.0,0,390.69,594.4,1.0,1.6100000000000136,0.003742445374244569,0.0
18,390.69,594.4,60.5,652.0,12.43,1,ChallengDriller,10000,0.0,0,391.06,654.5,1.0,0.37000000000000455,0.0006224764468371544,0.0
19,391.06,654.5,59.5,709.0,15.22,1,ChallengDriller,10000,0.0,0,392.55,761.1,1.0,1.490000000000009,0.002276546982429349,0.0
20,392.55,761.1,53.3,674.0,15.82,1,ChallengDriller,10000,0.0,0,393.23,851.2,1.0,0.6800000000000068,0.0008934436999080368,0.0
21,393.23,851.2,57.4,667.0,20.09,1,ChallengDriller,10000,0.0,0,394.58,696.9,1.0,1.349999999999966,0.0015859962406014636,0.0
