,BIT_DEPTH,cost
0,745.01,5002.28
1,746.53,0.7350000000000136
2,747.02,2.2799999999999727
3,748.54,0.7200000000000273
4,749.02,2.2649999999999864
5,750.53,0.7949999999999591
6,751.06,2.3250000000001023
7,752.61,0.6749999999998977
8,753.06,2.205000000000041
9,754.53,0.7350000000000136
10,755.02,2.2649999999999864
11,756.53,0.7350000000000136
12,757.02,2.25
13,758.52,0.855000000000075
14,759.09,2.189999999999884
15,760.55,0.7350000000000136
16,761.04,2.25
17,762.54,0.7350000000000136
18,763.03,2.310000000000116
19,764.57,0.7799999999999727
20,765.09,2.1299999999999386
21,766.51,0.855000000000075
22,767.08,2.1749999999998977
23,768.53,0.7200000000000273
24,769.01,2.25
25,770.51,0.855000000000075
26,771.08,2.1749999999998977
27,772.53,0.7949999999999591
28,773.06,2.2350000000000136
29,774.55,0.7200000000000273
30,775.03,2.294999999999959
31,776.56,0.7200000000000273
32,777.04,2.2950000000001296
33,778.57,0.644999999999925
34,779.0,2.339999999999918
35,780.56,0.6600000000000819
36,781.0,2.2799999999999727
37,782.52,0.7649999999999864
38,783.03,2.2799999999999727
39,784.55,0.7350000000000136
40,785.04,2.205000000000041
41,786.51,0.7799999999999727
42,787.03,2.205000000000041
43,788.5,0.8249999999999318
44,789.05,2.25
45,790.55,0.7200000000000273
46,791.03,2.294999999999959
47,792.56,0.6900000000000546
48,793.02,2.3099999999999454
49,794.56,0.7800000000001432
50,795.08,2.25
51,796.58,0.7799999999999727
52,797.1,2.2350000000000136
53,798.59,0.7049999999998704
54,799.06,2.2950000000001296
55,800.59,0.6299999999999386
56,801.01,2.3099999999999454
57,802.55,0.7050000000000409
58,803.02,2.2350000000000136
59,804.51,0.8400000000000887
60,805.07,2.2199999999998568
61,806.55,0.6900000000000546
62,807.01,2.3700000000000614
63,808.59,0.7049999999998704
64,809.06,2.205000000000041
65,810.53,0.7050000000000409
66,811.0,2.2799999999999727
67,812.52,0.8400000000000887
68,813.08,2.144999999999925
69,814.51,1.0350000000000819
70,815.2,1.9949999999998909
71,816.53,0.8250000000001023
72,817.08,2.189999999999884
73,818.54,0.7649999999999864
74,819.05,2.1900000000000546
75,820.51,0.7649999999999864
76,821.02,2.3250000000001023
77,822.57,0.689999999999884
78,823.03,2.2799999999999727
79,824.55,0.7649999999999864
80,825.06,2.25
81,826.56,0.75
82,827.06,2.1900000000000546
83,828.52,0.7200000000000273
84,829.0,2.339999999999918
85,830.56,0.6750000000000682
86,831.01,2.25
87,832.51,0.9599999999999795
88,833.15,2.0400000000000205
89,834.51,0.8099999999999454
90,835.05,2.310000000000116
91,836.59,0.6749999999998977
92,837.04,2.2350000000000136
93,838.53,0.75
94,839.03,2.2649999999999864
95,840.54,0.7200000000000273
96,841.02,2.3250000000001023
97,842.57,0.7349999999998431
98,843.06,2.175000000000068
99,844.51,0.855000000000075
100,845.08,2.1749999999998977
101,846.53,0.7200000000000273
102,847.01,2.3099999999999454
103,848.55,0.8700000000000614
104,849.13,2.0849999999999795
105,850.52,0.75
106,851.02,2.2200000000000273
107,852.5,0.7949999999999591
108,853.03,2.205000000000041
109,854.5,0.8099999999999454
110,855.04,2.2350000000000136
111,856.53,0.7949999999999591
112,857.06,2.205000000000041
113,858.53,0.7200000000000273
114,859.01,2.2799999999999727
115,860.53,0.7200000000000273
116,861.01,2.25
117,862.51,0.855000000000075
118,863.08,2.144999999999925
119,864.51,0.7649999999999864
120,865.02,2.2350000000000136
121,866.51,0.75
122,867.01,2.2649999999999864
123,868.52,0.7350000000000136
124,869.01,2.2799999999999727
125,870.53,0.7799999999999727
126,871.05,2.2200000000000273
127,872.53,0.75
128,873.03,2.2350000000000136
129,874.52,0.7799999999999727
130,875.04,2.205000000000041
131,876.51,0.7649999999999864
132,877.02,2.2649999999999864
133,878.53,0.7200000000000273
134,879.01,2.294999999999959
135,880.54,0.7350000000000136
136,881.03,2.2350000000000136
137,882.52,0.75
138,883.02,2.2350000000000136
139,884.51,0.75
140,885.01,2.294999999999959
141,886.54,0.7350000000000136
142,887.03,2.2200000000000273
143,888.51,0.7649999999999864
144,889.02,2.2649999999999864
145,890.53,0.7050000000000409
146,891.0,2.3099999999999454
147,892.54,0.6900000000000546
148,893.0,2.3099999999999454
149,894.54,0.6900000000000546
150,895.0,2.444999999999993
151,896.63,0.5550000000000068
152,897.0,2.444999999999993
153,898.63,0.6900000000000546
154,899.09,2.1299999999999386
155,900.51,0.75
156,901.01,2.25
