,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,CPR,CPF,CPH,NEXT_DEPTH,NEXT_RATE,PREV_ID,DEPTH_INTERVAL,TIME_INTERVAL,cost
0,105.22,1538.2,69.3,-1698,35.65,1,Apollo,1000,4.0,2500,106.11,2363.5,,0.8900000000000006,0.01811526502838816,1048.8481625709703
1,106.11,2363.5,69.3,-1693,35.53,1,Apollo,1000,4.0,2500,107.01,1632.0,1.0,0.9000000000000057,0.00038079119949228083,4.551977998730725
2,107.01,1632.0,69.3,-1689,35.36,1,Apollo,1000,4.0,2500,107.92,1631.9,1.0,0.9099999999999966,0.0005575980392156842,5.033995098039197
3,107.92,1631.9,69.3,-1684,35.36,1,Apollo,1000,4.0,2500,108.93,1631.9,1.0,1.0100000000000051,0.0006189104724554232,5.587276181138579
4,108.93,1631.9,69.9,-1678,35.24,1,Apollo,1000,4.0,2500,192.83,166.9,1.0,83.9,0.05141246399901955,464.13115999754893
5,192.83,166.9,47.7,42,14.07,1,Apollo,1000,4.0,2500,194.51,162.1,1.0,1.6799999999999784,0.010065907729179018,31.88476932294746
6,194.51,162.1,54.4,460,15.52,1,Apollo,1000,4.0,2500,196.56,264.1,1.0,2.0500000000000114,0.012646514497224006,39.81628624306006
7,196.56,264.1,57.5,342,10.7,1,Apollo,1000,4.0,2500,197.03,268.7,1.0,0.46999999999999886,0.001779628928436194,6.3290723210904805
8,197.03,268.7,57.9,459,12.45,1,Apollo,1000,4.0,2500,198.52,271.6,1.0,1.490000000000009,0.005545217714923741,19.823044287309386
9,198.52,271.6,60.4,274,9.53,1,Apollo,1000,4.0,2500,199.01,290.7,1.0,0.4899999999999807,0.001804123711340135,6.4703092783502605
10,199.01,290.7,60.3,283,8.32,1,Apollo,1000,4.0,2500,200.54,279.7,1.0,1.5300000000000011,0.005263157894736846,19.27789473684212
11,200.54,279.7,59.5,310,13.23,1,Apollo,1000,4.0,2500,205.02,212.1,1.0,4.480000000000018,0.01601716124419027,57.96290311047575
12,205.02,212.1,51.6,376,14.42,1,Apollo,1000,4.0,2500,208.56,299.3,1.0,3.539999999999992,0.016690240452616655,55.885601131541605
13,208.56,299.3,57.2,406,12.63,1,Apollo,1000,4.0,2500,209.09,283.9,1.0,0.5300000000000011,0.001770798529903111,6.5469963247577825
14,209.09,283.9,57.6,453,12.58,1,Apollo,1000,4.0,2500,210.55,297.0,1.0,1.460000000000008,0.005142655864741134,18.696639661852867
15,210.55,297.0,60.6,351,7.48,1,Apollo,1000,4.0,2500,211.06,301.4,1.0,0.5099999999999909,0.0017171717171716866,6.3329292929291805
16,211.06,301.4,61.2,380,7.53,1,Apollo,1000,4.0,2500,213.12,295.4,1.0,2.0600000000000023,0.00683477106834772,25.32692767086931
17,213.12,295.4,56.3,414,12.09,1,Apollo,1000,4.0,2500,214.57,310.9,1.0,1.4499999999999886,0.004908598510494207,18.07149627623547
18,214.57,310.9,55.9,462,11.8,1,Apollo,1000,4.0,2500,215.13,324.3,1.0,0.5600000000000023,0.0018012222579607664,6.743055644901925
19,215.13,324.3,53.9,467,13.58,1,Apollo,1000,4.0,2500,216.59,358.2,1.0,1.460000000000008,0.0045020043169904655,17.095010792476195
20,216.59,358.2,63.0,304,8.74,1,Apollo,1000,4.0,2500,218.55,332.2,1.0,1.960000000000008,0.005471803461753233,21.519508654383113
21,218.55,332.2,57.8,463,10.24,1,Apollo,1000,4.0,2500,219.28,315.3,1.0,0.7299999999999898,0.0021974714027693854,8.413678506923421
