,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,CPR,CPF,CPH,NEXT_DEPTH,NEXT_RATE,PREV_ID,DEPTH_INTERVAL,TIME_INTERVAL,cost
0,216.63,220.3,84.5,145,10.2,1,Buzz Drilldrin,5000,1.5,0,217.03,211.3,,0.4000000000000057,0.03792070585565141,5000.6
1,217.03,211.3,81.9,150,9.9,1,Buzz Drilldrin,5000,1.5,0,219.16,277.2,1.0,2.1299999999999955,0.010080454330335994,3.194999999999993
2,219.16,277.2,79.1,283,12.9,1,Buzz Drilldrin,5000,1.5,0,220.56,292.7,1.0,1.4000000000000057,0.005050505050505072,2.1000000000000085
3,220.56,292.7,79.4,330,12.9,1,Buzz Drilldrin,5000,1.5,0,221.0,299.4,1.0,0.4399999999999977,0.001503245644004092,0.6599999999999966
4,221.0,299.4,81.7,378,10.6,1,Buzz Drilldrin,5000,1.5,0,222.55,321.6,1.0,1.5500000000000114,0.00517702070808287,2.325000000000017
5,222.55,321.6,78.5,224,13.4,1,Buzz Drilldrin,5000,1.5,0,223.22,329.0,1.0,0.6699999999999875,0.0020833333333332943,1.0049999999999812
6,223.22,329.0,77.7,265,9.8,1,Buzz Drilldrin,5000,1.5,0,224.54,339.8,1.0,1.3199999999999932,0.004012158054711225,1.9799999999999898
7,224.54,339.8,79.9,322,12.5,1,Buzz Drilldrin,5000,1.5,0,225.09,343.6,1.0,0.5500000000000114,0.0016185991759859076,0.825000000000017
8,225.09,343.6,67.4,20,24.4,1,Buzz Drilldrin,5000,1.5,0,226.52,298.0,1.0,1.4300000000000068,0.004161816065192103,2.1450000000000102
9,226.52,298.0,72.4,539,19.4,1,Buzz Drilldrin,5000,1.5,0,227.03,297.8,1.0,0.5099999999999909,0.001711409395973124,0.7649999999999864
10,227.03,297.8,71.7,526,20.2,1,Buzz Drilldrin,5000,1.5,0,228.76,371.7,1.0,1.7299999999999898,0.005809267965077199,2.5949999999999847
11,228.76,371.7,69.4,491,22.8,1,Buzz Drilldrin,5000,1.5,0,229.2,368.4,1.0,0.4399999999999977,0.0011837503362927032,0.6599999999999966
12,229.2,368.4,70.4,495,21.5,1,Buzz Drilldrin,5000,1.5,0,230.52,317.0,1.0,1.3200000000000216,0.0035830618892508733,1.9800000000000324
13,230.52,317.0,64.4,465,27.4,1,Buzz Drilldrin,5000,1.5,0,231.06,264.0,1.0,0.539999999999992,0.0017034700315457162,0.8099999999999881
14,231.06,264.0,78.2,280,13.6,1,Buzz Drilldrin,5000,1.5,0,232.52,316.4,1.0,1.460000000000008,0.005530303030303061,2.190000000000012
15,232.52,316.4,64.6,628,27.2,1,Buzz Drilldrin,5000,1.5,0,233.08,325.2,1.0,0.5600000000000023,0.0017699115044247863,0.8400000000000034
