,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,CPR,CPF,CPH,NEXT_DEPTH,NEXT_RATE,PREV_ID,DEPTH_INTERVAL,TIME_INTERVAL,cost
0,745.01,270.94,89.67,52.5,10.96,1,AstroBit,3000,1.0,1500,746.53,289.74,,1.5199999999999818,0.12977843151005136,3196.187647265077
1,746.53,289.74,107.61,114.19,3.01,1,AstroBit,3000,1.0,1500,747.02,289.74,1.0,0.4900000000000091,0.0016911713950438637,3.0267570925658047
2,747.02,289.74,104.44,98.99,5.04,1,AstroBit,3000,1.0,1500,748.54,284.22,1.0,1.5199999999999818,0.005246082694829785,9.38912404224466
3,748.54,284.22,106.09,121.55,3.69,1,AstroBit,3000,1.0,1500,749.02,298.22,1.0,0.4800000000000182,0.001688832594469137,3.0132488917037237
4,749.02,298.22,105.44,93.13,3.28,1,AstroBit,3000,1.0,1500,750.53,285.67,1.0,1.509999999999991,0.005063376031117936,9.105064046676894
5,750.53,285.67,106.78,106.12,2.48,1,AstroBit,3000,1.0,1500,751.06,279.23,1.0,0.5299999999999727,0.0018552875695731885,3.3129313543597556
6,751.06,279.23,106.71,79.71,1.73,1,AstroBit,3000,1.0,1500,752.61,291.81,1.0,1.5500000000000682,0.0055509794792825565,9.876469218923903
7,752.61,291.81,105.52,87.65,3.6,1,AstroBit,3000,1.0,1500,753.06,323.96,1.0,0.4499999999999318,0.0015420993111954072,2.7631489667930427
8,753.06,323.96,105.59,96.37,3.6,1,AstroBit,3000,1.0,1500,754.53,321.17,1.0,1.4700000000000273,0.004537597234226532,8.276395851339824
9,754.53,321.17,105.44,127.88,3.68,1,AstroBit,3000,1.0,1500,755.02,291.89,1.0,0.4900000000000091,0.0015256717626179566,2.778507643926944
10,755.02,291.89,105.73,120.01,3.41,1,AstroBit,3000,1.0,1500,756.53,312.63,1.0,1.509999999999991,0.005173181678029363,9.269772517044036
11,756.53,312.63,103.93,137.23,4.73,1,AstroBit,3000,1.0,1500,757.02,277.17,1.0,0.4900000000000091,0.0015673479832390017,2.8410219748585117
12,757.02,277.17,104.69,165.58,4.74,1,AstroBit,3000,1.0,1500,758.52,285.11,1.0,1.5,0.005411841108345059,9.617761662517589
13,758.52,285.11,105.52,133.34,3.67,1,AstroBit,3000,1.0,1500,759.09,278.36,1.0,0.57000000000005,0.0019992283679984915,3.568842551997787
14,759.09,278.36,104.94,102.41,4.21,1,AstroBit,3000,1.0,1500,760.55,288.37,1.0,1.4599999999999227,0.005245006466446051,9.327509699669
15,760.55,288.37,103.07,152.58,6.28,1,AstroBit,3000,1.0,1500,761.04,314.58,1.0,0.4900000000000091,0.0016992058813330411,3.0388088219995706
